Tract ID,Population 2010,Population 2000,White 2010,White 2000,Black or African American 2010,Black or African American 2000,American Indian and Alaska Native 2010,American Indian and Alaska Native 2000,Asian 2010,Asian 2000,Native Hawaiian and Other Pacific Islander 2010,Native Hawaiian and Other Pacific Islander 2000,Other Race 2010,Other Race 2000,Two or More Races 2010,Two or More Races 2000,Not Hispanic or Latino 2010,Not Hispanic or Latino 2000,Hispanic or Latino 2010,Hispanic or Latino 2000,Male 2010,Male 2000,Female 2010,Female 2000,Median Age 2010,Median Age 2000,Households 2010,Households 2000,Family Households 2010,Family Households 2000,Husband-wife family 2010,Husband-wife family 2000,Male no wife present 2010,Male no wife present 2000,Female no husband present 2010,Female no husband present 2000,Living alone 2010,Living alone 2000,Living with roommates 2010,Living with roommates 2000,Households with over-60's 2010,Households with over-60's 2000
980401,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
025200,5369,5454,3610,5165,222,3390,81,235,548,34,13,572,584,26,311,908,3889,1625,1480,3829,2673,2755,2696,2699,40,36.4,2125,2094,1078,546,752,221,99,1548,227,1001,567,325,567,325,598,179
031200,,8487,,8116,,1536,,1526,,33,,4356,,40,,625,,1233,,7254,,4182,,4305,,36.0,,2308,,399,,161,,1909,,1684,,514,,514,,373
023300,2624,2591,219,2492,293,245,21,435,1672,15,10,1517,315,27,94,253,2072,430,552,2161,1310,1301,1314,1290,37.8,33.5,620,640,543,64,348,34,65,576,130,539,47,203,47,203,284,77
013500,2556,2666,2001,2584,66,2188,5,53,360,9,2,305,29,5,93,24,2393,110,163,2556,1146,1251,1410,1415,37,36.4,1622,1741,401,1090,348,455,15,651,38,416,1002,94,1002,94,397,153
020402,3997,,2901,,119,,18,,607,,13,,146,,193,,3548,,449,,2500,,1497,,42.6,,2409,,545,,425,,49,,71,,1208,,1208,,574,
031201,6167,,1159,,538,,27,,3672,,35,,513,,223,,5190,,977,,3058,,3109,,38.9,,1740,,1206,,832,,109,,265,,308,,308,,755,
030400,5106,5177,2679,4999,50,2933,6,53,2057,5,6,1931,54,10,254,67,4829,223,277,4954,2507,2482,2599,2695,45.1,42.0,1933,1910,1342,371,1102,120,64,1539,176,1342,411,484,411,484,877,345
011400,,3175,,3142,,61,,36,,3,,3019,,0,,23,,45,,3130,,1442,,1733,,52.6,,1507,,639,,216,,868,,833,,181,,181,,442
031202,3137,,515,,377,,12,,1837,,4,,290,,102,,2596,,541,,1541,,1596,,38.4,,837,,618,,427,,66,,125,,123,,123,,379,
060600,,530,,513,,52,,316,,4,,107,,9,,25,,67,,463,,245,,285,,30.3,,159,,23,,7,,136,,126,,28,,28,,6
980200,320,,236,,36,,2,,30,,3,,4,,9,,295,,25,,245,,75,,62.5,,62,,33,,26,,4,,3,,25,,25,,27,
016801,3218,,2327,,269,,13,,315,,4,,112,,178,,2828,,390,,1865,,1353,,35,,1634,,369,,262,,37,,70,,735,,735,,257,
016800,,6101,,5756,,4092,,938,,56,,444,,10,,216,,576,,5525,,3664,,2437,,33.6,,3194,,1544,,1006,,1650,,619,,100,,100,,145
016802,3264,,2116,,375,,32,,392,,5,,173,,171,,2840,,424,,1882,,1382,,35.5,,1804,,361,,198,,60,,103,,991,,991,,290,
021400,3264,3285,2567,3145,44,2663,12,51,352,21,2,268,109,6,178,136,2871,386,393,2899,1617,1645,1647,1640,38,36.0,1619,1684,655,653,528,315,39,1031,88,631,584,187,584,187,366,103
016000,2465,2026,1346,1919,122,1308,8,91,787,5,4,443,91,9,107,63,2227,159,238,1867,1343,1115,1122,911,44.3,40.7,1633,1418,365,937,277,514,27,481,61,268,985,32,985,32,633,177
025900,4261,4278,1035,4072,436,1178,20,543,2099,21,19,1923,434,16,218,391,3464,739,797,3539,2049,2085,2212,2193,43,39.0,1327,1316,943,243,648,113,86,1073,209,990,285,327,285,327,675,251
045200,6474,6695,2984,6445,96,3128,30,94,2900,9,12,3135,141,2,311,77,6076,287,398,6408,3067,3145,3407,3550,38.8,36.6,2735,2777,1403,839,1056,352,104,1938,243,1446,836,428,836,428,923,401
042602,3243,,1850,,41,,9,,1116,,1,,58,,168,,3060,,183,,1517,,1726,,39.3,,1411,,760,,586,,38,,136,,444,,444,,479,
042600,,7200,,6945,,3948,,83,,18,,2789,,4,,103,,355,,6845,,3352,,3848,,37.8,,3201,,1083,,430,,2118,,1608,,468,,468,,413
040100,4088,4348,2290,4197,73,2467,5,76,1425,11,5,1575,117,3,173,65,3764,228,324,4120,1900,2048,2188,2300,38,35.9,1863,1911,822,670,643,251,60,1241,119,864,673,250,673,250,582,207
047902,3536,3539,1677,3409,47,1791,8,42,1566,9,2,1515,70,8,166,44,3299,147,237,3392,1720,1735,1816,1804,44,40.1,1508,1484,867,465,651,199,57,1019,159,822,478,245,478,245,597,239
013102,2625,,2103,,33,,5,,342,,2,,29,,111,,2491,,134,,1166,,1459,,38.7,,1582,,475,,418,,16,,41,,841,,841,,455,
013101,3811,,2926,,71,,7,,593,,7,,54,,153,,3557,,254,,1722,,2089,,34.9,,2389,,576,,498,,18,,60,,1346,,1346,,490,
047901,6400,6540,2897,6247,156,2971,20,190,2929,13,9,2970,90,5,299,98,6025,267,375,6273,3117,3151,3283,3389,44.1,40.2,2670,2609,1480,813,1120,354,103,1796,257,1415,847,403,847,403,1098,402
042800,2376,2451,1775,2395,19,1926,3,15,471,3,1,432,15,0,92,19,2297,76,79,2375,1135,1155,1241,1296,45.8,43.5,934,962,653,200,568,63,20,762,65,677,225,251,225,251,446,172
010700,5592,5634,908,5525,85,804,12,54,4440,6,2,4598,53,2,92,61,5425,136,167,5498,2636,2622,2956,3012,51.6,50.2,2778,2831,1298,1358,984,556,101,1473,213,1263,1239,262,1239,262,1570,814
035300,7226,7082,2141,6872,55,2600,13,40,4625,21,17,4119,115,9,260,83,6818,363,408,6719,3464,3440,3762,3642,42.2,40.3,2458,2390,1734,485,1294,168,131,1905,309,1687,491,521,491,521,1180,558
061500,11502,,6731,,443,,39,,3545,,26,,238,,480,,10759,,743,,6515,,4987,,35.4,,6785,,1939,,1666,,103,,170,,3525,,3525,,834,
020700,5171,5427,3803,5175,105,4056,24,147,568,53,5,476,383,13,283,430,4232,1189,939,4238,2710,2857,2461,2570,36,34.1,2718,2781,720,1212,541,630,65,1569,114,716,1197,165,1197,165,507,166
017901,,5408,,5191,,3640,,448,,20,,885,,12,,186,,353,,5055,,3306,,2102,,35.0,,3249,,1984,,1262,,1265,,788,,95,,95,,63
061200,4089,,795,,1317,,33,,882,,18,,868,,176,,2587,,1502,,2155,,1934,,35.6,,1115,,766,,390,,110,,266,,245,,245,,440,
015400,5621,5762,3838,5554,167,3891,8,288,1257,16,14,1243,115,9,222,107,5256,312,365,5450,2619,2681,3002,3081,37.7,35.8,2839,2901,1107,1220,899,478,68,1681,140,1104,1212,286,1212,286,806,327
022704,3122,,2407,,43,,12,,420,,2,,63,,175,,2873,,249,,1673,,1449,,39.2,,1611,,649,,539,,41,,69,,637,,637,,365,
022801,5078,4676,2810,4402,159,2125,28,113,619,55,9,386,1099,9,354,1714,2935,2839,2143,1837,2770,2522,2308,2154,34.5,30.4,1850,1341,836,294,566,176,113,1047,157,691,499,255,499,255,345,88
022701,,2751,,2643,,2278,,101,,3,,171,,1,,89,,247,,2504,,1520,,1231,,39.3,,1499,,629,,350,,870,,497,,107,,107,,115
022703,,5140,,4878,,2561,,1479,,56,,429,,144,,209,,649,,4491,,2557,,2583,,32.8,,2205,,653,,346,,1552,,1092,,192,,192,,116
022702,2060,1805,1598,1730,51,1449,2,45,236,7,0,148,67,4,106,77,1806,229,254,1576,1079,961,981,844,38.2,36.9,981,952,379,390,316,238,26,562,37,290,330,65,330,65,203,53
060300,,137,,133,,107,,12,,0,,7,,0,,7,,26,,111,,92,,45,,33.9,,35,,24,,12,,11,,6,,0,,0,,0
012602,2909,,2500,,19,,1,,293,,2,,24,,70,,2775,,134,,1464,,1445,,35.8,,1724,,472,,408,,27,,37,,972,,972,,399,
012601,2329,,1976,,15,,5,,229,,2,,27,,75,,2203,,126,,1042,,1287,,33.8,,1496,,353,,308,,17,,28,,939,,939,,270,
012600,,4915,,4823,,4303,,28,,8,,437,,10,,37,,167,,4748,,2337,,2578,,35.4,,3228,,1955,,875,,1273,,821,,155,,155,,299
030800,5667,5646,3458,5412,84,3665,8,34,1760,14,9,1590,92,9,256,100,5300,365,367,5281,2723,2704,2944,2942,46.4,43.9,2145,2115,1451,472,1209,145,70,1643,172,1459,485,499,485,499,1035,477
015100,2493,2420,1615,2341,69,1703,7,59,655,3,5,540,36,2,106,34,2343,129,150,2291,1128,1116,1365,1304,45.8,43.3,1655,1638,292,1081,243,422,16,557,33,351,1110,39,1110,39,699,373
